num_point,time_sort,time_convex,time_convex_pred,residual,,,
1,0,0,0,0,,T(n) = O(k*n*log(n)),
4,0,0,4.36E-06,4.36E-06,,k,5.45E-07
9,0,0,1.55E-05,1.55E-05,,sum sq,21.32449024
16,0,0.000500441,3.49E-05,3.49E-05,,,
25,0,0.000498056,6.32E-05,6.32E-05,,,
36,0.000499487,0,0.000101387,-0.0003981,,,
49,0,0.000499487,0.000149871,0.000149871,,,
64,0,0.000998735,0.000209182,0.000209182,,,
81,0.000500441,0.000998735,0.000279742,-0.000220699,,,
100,0.000501156,0.000998974,0.000361921,-0.000139235,,,
121,0,0.001498699,0.000456051,0.000456051,,,
144,0.000499487,0.001501083,0.000562433,6.29E-05,,,
169,0.001000643,0.001499891,0.00068134,-0.000319303,,,
196,0.000500202,0.00249958,0.000813023,0.000312821,,,
225,0.001000166,0.002498865,0.000957717,-4.24E-05,,,
256,0.000998497,0.002502918,0.001115639,0.000117142,,,
289,0.00150156,0.002998114,0.00128699,-0.00021457,,,
324,0.001499653,0.003498316,0.001471963,-2.77E-05,,,
361,0.001499414,0.004000187,0.001670736,0.000171322,,,
400,0.001498461,0.004499435,0.001883481,0.00038502,,,
441,0.00199914,0.004500389,0.002110357,0.000111217,,,
484,0.001998901,0.004999876,0.002351519,0.000352618,,,
529,0.002501488,0.005497932,0.002607113,0.000105625,,,
576,0.002501488,0.006000042,0.002877279,0.000375791,,,
625,0.002999306,0.006500721,0.00316215,0.000162844,,,
676,0.002997637,0.00750041,0.003461855,0.000464218,,,
729,0.003002882,0.00799942,0.003776517,0.000773635,,,
784,0.003497839,0.008500099,0.004106255,0.000608416,,,
841,0.003499031,0.008499861,0.004451183,0.000952152,,,
900,0.00399971,0.008999109,0.004811412,0.000811702,,,
961,0.003997564,0.010001659,0.005187048,0.001189484,,,
1024,0.005000114,0.010501623,0.005578194,0.00057808,,,
1089,0.005500078,0.011499166,0.00598495,0.000484872,,,
1156,0.005001068,0.011999607,0.006407413,0.001406345,,,
1225,0.005497694,0.01250267,0.006845677,0.001347983,,,
1296,0.006499052,0.013502359,0.007299832,0.00080078,,,
1369,0.006498337,0.015002012,0.007769968,0.001271631,,,
1444,0.007500887,0.0154984,0.008256171,0.000755284,,,
1521,0.008499861,0.016000271,0.008758524,0.000258663,,,
1600,0.008500099,0.016503096,0.009277108,0.000777009,,,
1681,0.008499861,0.017501116,0.009812005,0.001312144,,,
1764,0.009500027,0.018999815,0.010363291,0.000863264,,,
1849,0.009500027,0.020001173,0.010931041,0.001431014,,,
1936,0.011000395,0.01950264,0.011515331,0.000514936,,,
2025,0.010000467,0.02099967,0.012116232,0.002115765,,,
2116,0.01300025,0.021500349,0.012733815,-0.000266435,,,
2209,0.012500048,0.022500038,0.013368149,0.000868101,,,
2304,0.014001846,0.024998665,0.014019302,1.75E-05,,,
2401,0.012498617,0.024500132,0.014687339,0.002188722,,,
2500,0.012999535,0.025500774,0.015372326,0.002372791,,,
2601,0.015000105,0.027999401,0.016074327,0.001074222,,,
2704,0.015000582,0.028499603,0.016793402,0.00179282,,,
2809,0.015999317,0.029999971,0.017529614,0.001530297,,,
2916,0.017498016,0.031499863,0.018283023,0.000785007,,,
3025,0.015499115,0.031501532,0.019053687,0.003554572,,,
3136,0.017500877,0.033007383,0.019841663,0.002340786,,,
3249,0.017499685,0.03400135,0.020647009,0.003147324,,,
3364,0.02050209,0.035997629,0.02146978,0.00096769,,,
3481,0.019500494,0.036999226,0.022310031,0.002809537,,,
3600,0.021499634,0.03799963,0.023167815,0.001668181,,,
3721,0.022501469,0.03999877,0.024043186,0.001541717,,,
3844,0.023998499,0.039499521,0.024936194,0.000937695,,,
3969,0.02449894,0.041498899,0.025846893,0.001347953,,,
4096,0.022498608,0.042499781,0.026775331,0.004276723,,,
4225,0.02399826,0.044504166,0.027721558,0.003723298,,,
4356,0.024999619,0.044499874,0.028685623,0.003686004,,,
4489,0.02699995,0.045999765,0.029667575,0.002667625,,,
4624,0.025999546,0.046998978,0.030667459,0.004667913,,,
4761,0.026501894,0.049500465,0.031685324,0.00518343,,,
4900,0.029500961,0.050999403,0.032721214,0.003220253,,,
5041,0.029499292,0.051999807,0.033775175,0.004275883,,,
5184,0.034000397,0.053998232,0.034847251,0.000846854,,,
5329,0.032001734,0.056497812,0.035937487,0.003935753,,,
5476,0.036498785,0.05850029,0.037045926,0.000547141,,,
5625,0.035497665,0.061000586,0.038172611,0.002674946,,,
5776,0.035498381,0.063500166,0.039317583,0.003819202,,,
5929,0.035999537,0.064000845,0.040480885,0.004481348,,,
6084,0.041500807,0.064999819,0.041662558,0.000161751,,,
6241,0.037499666,0.065500259,0.042862641,0.005362975,,,
6400,0.039003134,0.066500187,0.044081176,0.005078042,,,
6561,0.041001797,0.071998835,0.045318202,0.004316405,,,
6724,0.042002201,0.070997477,0.046573757,0.004571556,,,
6889,0.044500113,0.070999861,0.047847881,0.003347768,,,
7056,0.043498516,0.073999882,0.049140611,0.005642095,,,
7225,0.046001434,0.075497866,0.050451985,0.004450551,,,
7396,0.046499014,0.078000069,0.051782041,0.005283027,,,
7569,0.052499771,0.083997965,0.053130815,0.000631044,,,
7744,0.050499439,0.081999779,0.054498343,0.003998904,,,
7921,0.051498413,0.082500696,0.055884661,0.004386248,,,
8100,0.054002047,0.086998463,0.057289806,0.003287759,,,
8281,0.051499605,0.08550334,0.058713811,0.007214206,,,
8464,0.053500175,0.086999416,0.060156712,0.006656537,,,
8649,0.052999496,0.088500023,0.061618544,0.008619048,,,
8836,0.0589993,0.092000008,0.063099339,0.004100039,,,
9025,0.063998699,0.093500376,0.064599132,0.000600433,,,
9216,0.063999891,0.0989995,0.066117956,0.002118065,,,
9409,0.06150198,0.096998215,0.067655844,0.006153864,,,
9604,0.063499212,0.104001045,0.069212828,0.005713616,,,
9801,0.06300354,0.101499081,0.070788942,0.007785402,,,
10000,0.069500685,0.104498863,0.072384215,0.00288353,,,
10201,0.067501068,0.106501341,0.073998681,0.006497613,,,
10404,0.07500124,0.112499714,0.075632371,0.000631131,,,
10609,0.067500353,0.110000134,0.077285315,0.009784962,,,
10816,0.070997953,0.116000891,0.078957544,0.007959591,,,
11025,0.073498487,0.119001389,0.080649088,0.007150601,,,
11236,0.071002007,0.116997004,0.082359979,0.011357972,,,
11449,0.0779984,0.122498989,0.084090244,0.006091844,,,
11664,0.076499939,0.128002405,0.085839915,0.009339976,,,
11881,0.075999022,0.122999907,0.08760902,0.011609998,,,
12100,0.08900094,0.133000851,0.089397588,0.000396648,,,
12321,0.085499763,0.128501177,0.091205647,0.005705884,,,
12544,0.082497597,0.13100028,0.093033227,0.01053563,,,
12769,0.092000484,0.132500648,0.094880356,0.002879872,,,
12996,0.091999769,0.138000727,0.096747061,0.004747292,,,
13225,0.093500137,0.142999411,0.09863337,0.005133233,,,
13456,0.08700037,0.13899827,0.100539311,0.013538941,,,
13689,0.096000433,0.142498016,0.10246491,0.006464477,,,
13924,0.093999386,0.150999546,0.104410195,0.010410809,,,
14161,0.089999437,0.147500515,0.106375193,0.016375756,,,
14400,0.101000786,0.15049839,0.10835993,0.007359144,,,
14641,0.095499277,0.152000666,0.110364432,0.014865155,,,
14884,0.104999304,0.160000086,0.112388726,0.007389422,,,
15129,0.102998972,0.156501055,0.114432837,0.011433865,,,
15376,0.105000257,0.157999992,0.116496791,0.011496534,,,
15625,0.103500366,0.161000967,0.118580614,0.015080248,,,
15876,0.110500336,0.162499428,0.12068433,0.010183994,,,
16129,0.10550046,0.165499687,0.122807965,0.017307505,,,
16384,0.118999481,0.169500113,0.124951544,0.005952063,,,
16641,0.122001886,0.173998117,0.127115091,0.005113205,,,
16900,0.122999907,0.173998833,0.12929863,0.006298723,,,
17161,0.119498014,0.176500082,0.131502187,0.012004173,,,
17424,0.126001835,0.183997631,0.133725785,0.00772395,,,
17689,0.117002249,0.181497335,0.135969448,0.018967199,,,
17956,0.118500948,0.186501503,0.138233199,0.019732251,,,
18225,0.131498575,0.195500851,0.140517063,0.009018488,,,
18496,0.128497362,0.192499876,0.142821062,0.0143237,,,
18769,0.124498844,0.194000244,0.145145221,0.020646377,,,
19044,0.133500814,0.196000814,0.147489561,0.013988747,,,
19321,0.130001068,0.19949913,0.149854106,0.019853038,,,
19600,0.1474967,0.201501608,0.152238878,0.004742178,,,
19881,0.151499987,0.213999748,0.1546439,0.003143913,,,
20164,0.137498856,0.20699954,0.157069195,0.019570339,,,
20449,0.147499084,0.22149992,0.159514784,0.0120157,,,
20736,0.144499302,0.219499826,0.16198069,0.017481388,,,
21025,0.150002241,0.21849823,0.164466934,0.014464693,,,
21316,0.161998034,0.226001978,0.166973539,0.004975505,,,
21609,0.160999775,0.23099947,0.169500526,0.008500751,,,
21904,0.173499346,0.238001108,0.172047915,-0.001451431,,,
22201,0.152499437,0.229500532,0.17461573,0.022116293,,,
22500,0.153501511,0.231498241,0.17720399,0.023702479,,,
22801,0.172997475,0.23549962,0.179812718,0.006815243,,,
23104,0.171999931,0.244500637,0.182441933,0.010442002,,,
23409,0.166000128,0.241000652,0.185091656,0.019091528,,,
23716,0.170498133,0.246000528,0.187761909,0.017263776,,,
24025,0.169999838,0.256500483,0.190452711,0.020452873,,,
24336,0.169999123,0.253500462,0.193164083,0.02316496,,,
