num_point,time_sort,ycalc,res
1,0,0,0
4,0,4.35796E-06,4.35796E-06
9,0,1.55412E-05,1.55412E-05
16,0,3.48637E-05,3.48637E-05
25,0,6.3243E-05,6.3243E-05
36,0.000499487,0.000101387,-0.0003981
49,0,0.000149871,0.000149871
64,0,0.000209182,0.000209182
81,0.000500441,0.000279742,-0.000220699
100,0.000501156,0.000361921,-0.000139235
121,0,0.000456051,0.000456051
144,0.000499487,0.000562433,6.2946E-05
169,0.001000643,0.00068134,-0.000319303
196,0.000500202,0.000813023,0.000312821
225,0.001000166,0.000957717,-4.24485E-05
256,0.000998497,0.001115639,0.000117142
289,0.00150156,0.00128699,-0.00021457
324,0.001499653,0.001471963,-2.769E-05
361,0.001499414,0.001670736,0.000171322
400,0.001498461,0.001883481,0.00038502
441,0.00199914,0.002110357,0.000111217
484,0.001998901,0.002351519,0.000352618
529,0.002501488,0.002607113,0.000105625
576,0.002501488,0.002877279,0.000375791
625,0.002999306,0.00316215,0.000162844
676,0.002997637,0.003461855,0.000464218
729,0.003002882,0.003776517,0.000773635
784,0.003497839,0.004106255,0.000608416
841,0.003499031,0.004451183,0.000952152
900,0.00399971,0.004811412,0.000811702
961,0.003997564,0.005187048,0.001189484
1024,0.005000114,0.005578194,0.00057808
1089,0.005500078,0.00598495,0.000484872
1156,0.005001068,0.006407413,0.001406345
1225,0.005497694,0.006845677,0.001347983
1296,0.006499052,0.007299832,0.00080078
1369,0.006498337,0.007769968,0.001271631
1444,0.007500887,0.008256171,0.000755284
1521,0.008499861,0.008758524,0.000258663
1600,0.008500099,0.009277108,0.000777009
1681,0.008499861,0.009812005,0.001312144
1764,0.009500027,0.010363291,0.000863264
1849,0.009500027,0.010931041,0.001431014
1936,0.011000395,0.011515331,0.000514936
2025,0.010000467,0.012116232,0.002115765
2116,0.01300025,0.012733815,-0.000266435
2209,0.012500048,0.013368149,0.000868101
2304,0.014001846,0.014019302,1.74557E-05
2401,0.012498617,0.014687339,0.002188722
2500,0.012999535,0.015372326,0.002372791
2601,0.015000105,0.016074327,0.001074222
2704,0.015000582,0.016793402,0.00179282
2809,0.015999317,0.017529614,0.001530297
2916,0.017498016,0.018283023,0.000785007
3025,0.015499115,0.019053687,0.003554572
3136,0.017500877,0.019841663,0.002340786
